subcatch_id,area,imperv_percent,depress_stor_perv,depress_stor_imperv,hrtn_init, hrtn_decay, hrtn_final,storm_id,month,year,total_rain,time,area_acre,imp_area,perv_area,imp_vol,infil,per_vol,runoff
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/21/1998-13:58:26,4,1998,0.2,1255.2,80.09536,4.877807424,75.217552576,0.0406483952,0.695217767415,0.0,0.0406483952
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/26/1998-0:35:51,4,1998,0.86,22159.8,80.09536,4.877807424,75.217552576,0.30892780352,4.10217644277,0.0,0.30892780352
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/6/1998-13:31:02,5,1998,0.12,1233.0,80.09536,4.877807424,75.217552576,0.00812967904,0.689312194544,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/7/1998-0:44:11,5,1998,0.43,12076.2,80.09536,4.877807424,75.217552576,0.13413970416,2.48657510409,0.0,0.13413970416
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/8/1998-17:25:59,5,1998,0.55,17863.2,80.09536,4.877807424,75.217552576,0.1829177784,3.41377223089,0.0,0.1829177784
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,6/5/1998-7:39:52,6,1998,0.31,27268.2,80.09536,4.877807424,75.217552576,0.08536162992,4.92064780989,0.0,0.08536162992
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,6/17/1998-11:04:21,6,1998,0.12,1135.2,80.09536,4.877807424,75.217552576,0.00812967904,0.662101597429,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/8/1998-21:14:21,7,1998,0.48,7672.8,80.09536,4.877807424,75.217552576,0.15446390176,1.78105876863,0.0,0.15446390176
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/22/1998-18:00:22,7,1998,0.86,4075.2,80.09536,4.877807424,75.217552576,0.30892780352,1.20428960688,0.0,0.30892780352
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/24/1998-20:30:14,7,1998,0.51,10243.8,80.09536,4.877807424,75.217552576,0.16665842032,2.19298670855,0.0,0.16665842032
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/25/1998-18:20:50,7,1998,0.99,12810.0,80.09536,4.877807424,75.217552576,0.36177071728,2.60414504574,0.0,0.36177071728
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/30/1998-14:23:50,7,1998,0.27,12421.8,80.09536,4.877807424,75.217552576,0.06910227184,2.54194737426,0.0,0.06910227184
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,8/1/1998-14:43:31,8,1998,0.87,4009.2,80.09536,4.877807424,75.217552576,0.31299264304,1.19366965903,0.0,0.31299264304
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,8/3/1998-17:47:28,8,1998,0.86,9153.0,80.09536,4.877807424,75.217552576,0.30892780352,2.01821794793,0.0,0.30892780352
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,8/4/1998-10:25:26,8,1998,0.16,985.2,80.09536,4.877807424,75.217552576,0.02438903712,0.615906431661,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/3/1999-11:21:09,4,1999,0.16,2772.0,80.09536,4.877807424,75.217552576,0.02438903712,0.992093408698,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/13/1999-21:36:24,4,1999,0.59,8440.2,80.09536,4.877807424,75.217552576,0.19917713648,1.90401254025,0.0,0.19917713648
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/14/1999-0:05:49,4,1999,0.51,39253.2,80.09536,4.877807424,75.217552576,0.16665842032,6.84089276622,0.0,0.16665842032
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/15/1999-11:03:03,4,1999,0.16,3712.2,80.09536,4.877807424,75.217552576,0.02438903712,1.14579777088,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/17/1999-11:44:04,4,1999,0.12,1914.0,80.09536,4.877807424,75.217552576,0.00812967904,0.840781339197,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/22/1999-0:53:41,4,1999,0.23,9454.2,80.09536,4.877807424,75.217552576,0.05284291376,2.06647643558,0.0,0.05284291376
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/22/1999-12:40:24,4,1999,0.79,15850.2,80.09536,4.877807424,75.217552576,0.28047392688,3.09124798416,0.0,0.28047392688
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/22/1999-19:28:08,4,1999,0.16,4432.8,80.09536,4.877807424,75.217552576,0.02438903712,1.26175528564,0.0,0.02438903712
