WQ110,WQ110,2,0.125149,0.290781,0.579639,0.015969,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448
WQ111,WQ111,2,0.158605,0.282113,0.56322,0.022568,2,0.35,0.1,4.019507647,0.001799999,0.567967174
WQ112,WQ112,2,0.156041,0.339548,0.693868,0.125908,2,0.35,0.1,3.544396775,0.0018,0.536293116
WQ113,WQ113,2,0.093857,0.193944,0.488003,0.175914,10.16,0.35,0.1,3.647083934,0.001799998,0.543138937
WQ114,WQ114,2,0.115463,0.294925,0.661553,0.136806,2.01,0.35,0.1,3.78880864,0.001800001,0.55258723
WQ115,WQ115,2,0.175051,0.276274,0.70196,0.027553,27.59,0.35,0.1,3,0.001800004,0.5
WQ116,WQ116,2,0.205031,0.343694,0.756787,0.018372,11.82,0.35,0.1,4.500000019,0.0018,0.600000002
WQ117,WQ117,2,0.144382,0.19848,0.471802,0.017386,19.77,0.35,0.1,4.500000016,0.001799995,0.600000006
WQ118,WQ118,2,0.098682,0.284106,0.542736,0.024717,39.72,0.35,0.1,4.499999984,0.001799998,0.6
WQ119,WQ119,2,0.137058,0.266614,0.701046,0.020751,15.11,0.35,0.1,3.943487339,0.001799998,0.562899154
WQ120,WQ120,2,0.174324,0.261647,0.608799,0.034008,63.19,0.35,0.1,4.372703328,0.001800003,0.591513553
WQ121,WQ121,2,0.096813,0.178405,0.455674,0.037839,35.14,0.35,0.1,3.681975977,0.001799998,0.545465068
WQ122,WQ122,2,0.049523,0.119128,0.304236,0.038185,43.43,0.35,0.1,3.429221244,0.001799996,0.528614744
WQ123,WQ123,2,0.186315,0.324736,0.668101,0.036689,33.31,0.35,0.1,3.046213447,0.001800002,0.503080898
WQ124,WQ124,2,0.089568,0.250282,0.567459,0.033711,36.6,0.35,0.1,3.013177185,0.001800016,0.500878463
WQ125,WQ125,2,0.126382,0.205558,0.608948,0.030814,29.49,0.35,0.1,4.500000037,0.001800002,0.600000012
WQ126,WQ126,2,0.193268,0.27756,0.732997,0.016138,29.94,0.35,0.1,4.500000012,0.001800005,0.600000008
WQ127,WQ127,2,0.16385,0.200159,0.492091,0.023898,24.29,0.35,0.1,4.49999999,0.001799997,0.6
WQ128,WQ128,2,0.101081,0.212817,0.408889,0.012479,24.08,0.35,0.1,4.569253821,0.001647636,0.6554031
WQ129,WQ129,2,0.189797,0.329504,0.637562,0.007778,4.81,0.35,0.1,4.499999984,0.001799998,0.599999995
WQ130,WQ130,2,0.178077,0.268082,0.452932,0.020092,7.62,0.35,0.1,4.499999991,0.001800002,0.599999996
WQ131,WQ131,2,0.057478,0.237341,0.393112,0.032172,10.04,0.35,0.1,4.607062355,0.001564465,0.685649944
WQ132,WQ132,2,0.088133,0.257826,0.657645,0.025424,2.53,0.35,0.1,4.854054392,0.001021092,0.883243553
WQ133,WQ133,2,0.198224,0.382976,0.699044,0.027808,16.28,0.35,0.1,4.597599198,0.001585275,0.67807937
WQ134,WQ134,2,0.20799,0.203683,0.501339,0.031183,72.24,0.35,0.1,4.537703868,0.001717049,0.630163103
WQ135,WQ135,2,0.121076,0.272986,0.558707,0.027874,71.48,0.35,0.1,4.418265458,0.001799996,0.594551037
WQ136,WQ136,2,0.150328,0.253075,0.756406,0.042254,37.22,0.35,0.1,3.308422911,0.001799996,0.520561525
WQ137,WQ137,2,0.150747,0.391293,0.738451,0.053693,25.84,0.35,0.1,4.556003345,0.00167279,0.646139515
WQ138,WQ138,2,0.200602,0.262737,0.532728,0.065515,28.3,0.35,0.1,4.957354727,0.000793821,0.965883783
WQ139,WQ139,2,0.186035,0.375694,0.786858,0.009177,15.28,0.35,0.1,4.993476941,0.00071435,0.994781554
WQ140,WQ140,2,0.170382,0.214647,0.548338,0.057668,21.59,0.35,0.1,4.974699261,0.000755657,0.97975942
WQ141,WQ141,2,0.176585,0.313081,0.636242,0.029707,31.09,0.35,0.1,4.99568627,0.000709492,0.996549007
WQ142,WQ142,2,0.113667,0.367833,0.601417,0.020145,75.29,0.35,0.1,5,0.000700004,1
WQ143,WQ143,2,0.121963,0.368481,0.632445,0.012327,80,0.35,0.1,5.000000013,0.000699996,1
WQ144,WQ144,2,0.156298,0.200436,0.608513,0.019468,62.26,0.35,0.1,4.972269912,0.000761008,0.97781591
WQ145,WQ145,2,0.156935,0.339547,0.63979,0.030137,37.64,0.35,0.1,4.703150556,0.001353069,0.762520463
WQ146,WQ146,2,0.08053,0.184447,0.412923,0.034452,50.85,0.35,0.1,4.513451562,0.001770396,0.610761269
WQ147,WQ147,2,0.179732,0.350466,0.701302,0.024667,61.34,0.35,0.1,4.450768718,0.001415693,0.724819725
WQ148,WQ148,2,0.075762,0.144743,0.39202,0.020253,79.74,0.35,0.1,3.000000021,0.001800006,0.5
WQ149,WQ149,2,0.133987,0.133327,0.371343,0.050336,68.17,0.35,0.1,3.414839223,0.001794568,0.529465798
WQ150,WQ150,2,0.178741,0.228447,0.483228,0.034559,59.22,0.35,0.1,3.303990868,0.001800003,0.520266053
WQ151,WQ151,2,0.149866,0.070344,0.5663,0.021223,74.55,0.35,0.1,3.088861592,0.001799997,0.505924098
WQ152,WQ152,2,0.120435,0.127086,0.365062,0.025561,60.5,0.35,0.1,3.023207062,0.001800011,0.501547145
WQ153,WQ153,2,0.145718,0.202451,0.457414,0.033857,80,0.35,0.1,3,0.001799999,0.499999995
