WQ110,WQ110,,0.125149,,,,6.09,0.35,0.1,4.151917326,0.034503556,22.03967857
WQ111,WQ111,,0.158605,,,,2,0.35,0.1,4.019507647,0.026413896,16.63942746
WQ112 - WQ113,WQ112 - WQ113,,0.249898,,,,5.064742895,0.35,0.1,3.582964145,0.031702341,21.03519416
WQ114 - WQ115,WQ114 - WQ115,,0.290514,,,,17.42338655,0.35,0.1,3.313507136,0.029197618,20.34842493
WQ116,WQ116,,0.205031,,,,11.82,0.35,0.1,4.500000019,0.024893089,18.27087463
WQ117 - WQ124,WQ117 - WQ124,,0.976665,,,,35.73148959,0.35,0.1,3.850111963,0.028636718,20.21536651
WQ125,WQ125,,0.126382,,,,29.49,0.35,0.1,4.500000037,0.02415328,23.85064823
WQ126 - WQ128,WQ126 - WQ128,,0.458199,,,,26.62683878,0.35,0.1,4.515277742,0.021796109,18.06001194
WQ129,WQ129,,0.189797,,,,4.81,0.35,0.1,4.499999984,0.025780851,16.62793359
WQ130,WQ130,,0.178077,,,,7.62,0.35,0.1,4.499999991,0.022355617,12.59013474
WQ131,WQ131,,0.057478,,,,10.04,0.35,0.1,4.607062355,0.053295537,38.68753461
WQ132,WQ132,,0.088133,,,,2.53,0.35,0.1,4.854054392,0.024643751,54.37351306
WQ133 - WQ136,WQ133 - WQ136,,0.677618,,,,47.96508499,0.35,0.1,4.261170806,0.023178322,18.45569899
WQ137,WQ137,,0.150747,,,,25.84,0.35,0.1,4.556003345,0.035821921,26.11278887
WQ138,WQ138,,0.200602,,,,28.3,0.35,0.1,4.957354727,0.008577535,21.16162831
WQ139,WQ139,,0.186035,,,,15.28,0.35,0.1,4.993476941,0.011901579,34.7122987
WQ140,WQ140,,0.170382,,,,21.59,0.35,0.1,4.974699261,0.007853797,26.01345408
WQ141,WQ141,,0.176585,,,,31.09,0.35,0.1,4.99568627,0.010377773,29.6224612
WQ142,WQ142,,0.113667,,,,75.29,0.35,0.1,5,0.018688336,43.65110641
WQ143,WQ143,,0.121963,,,,80,0.35,0.1,5.000000013,0.017447645,42.78077163
WQ144,WQ144,,0.156298,,,,62.26,0.35,0.1,4.972269912,0.008051288,31.40707433
WQ145,WQ145,,0.156935,,,,37.64,0.35,0.1,4.703150556,0.024152044,25.6462037
WQ146,WQ146,,0.08053,,,,50.85,0.35,0.1,4.513451562,0.033453238,25.83668584
WQ147,WQ147,,0.179732,,,,61.34,0.35,0.1,4.450768718,0.022774223,23.3326264
WQ148,WQ148,,0.075762,,,,79.74,0.35,0.1,3.000000021,0.028370961,21.3442425
WQ149 - WQ150,WQ149 - WQ150,,0.312728,,,,63.05458996,0.35,0.1,3.351483381,0.017159882,11.81911887
WQ151 - WQ153,WQ151 - WQ153,,0.416019,,,,72.39156817,0.35,0.1,3.038729659,0.014273965,13.84801624
